,model_name,use_mcp,add_pseudocode,n_disks,ith_try,has_structured_response,valid_solution,total_moves,run_start,run_end
0,gpt-4.1-mini,True,False,8,2,True,False,255,2025-06-20 22:58:57.416252,2025-06-20 22:59:42.942680
0,gpt-4.1-mini,True,False,8,3,True,False,254,2025-06-20 22:59:42.947456,2025-06-20 23:00:16.514731
0,gpt-4.1-mini,True,False,8,4,True,False,255,2025-06-20 23:00:16.519492,2025-06-20 23:01:18.655736
0,gpt-4.1-mini,True,False,8,5,True,False,255,2025-06-20 23:01:18.661104,2025-06-20 23:02:09.932750
0,gpt-4.1-mini,True,False,8,6,True,False,255,2025-06-20 23:02:09.939344,2025-06-20 23:03:07.569362
0,gpt-4.1-mini,True,False,8,7,True,False,255,2025-06-20 23:03:07.575667,2025-06-20 23:03:57.150587
0,gpt-4.1-mini,True,False,8,8,True,False,255,2025-06-20 23:03:57.157020,2025-06-20 23:04:50.331777
0,gpt-4.1-mini,True,False,8,9,True,False,255,2025-06-20 23:04:50.337019,2025-06-20 23:06:03.095665
0,gpt-4.1-mini,True,False,8,10,True,False,255,2025-06-20 23:06:03.099179,2025-06-20 23:07:48.992780
0,gpt-4.1-mini,True,False,8,11,True,False,255,2025-06-20 23:07:48.999571,2025-06-20 23:08:52.306043
0,gpt-4.1-mini,True,False,8,12,True,False,255,2025-06-20 23:08:52.312583,2025-06-20 23:09:40.724
0,gpt-4.1-mini,True,False,8,13,True,False,255,2025-06-20 23:09:40.728140,2025-06-20 23:10:13.662662
0,gpt-4.1-mini,True,False,8,14,True,False,255,2025-06-20 23:10:13.669025,2025-06-20 23:11:14.181727
0,o4-mini,True,False,6,0,True,True,63,2025-06-20 23:11:14.187986,2025-06-20 23:12:08.719027
0,o4-mini,True,False,6,1,True,True,63,2025-06-20 23:12:08.725533,2025-06-20 23:12:59.118108
0,o4-mini,True,False,6,2,True,True,63,2025-06-20 23:12:59.125662,2025-06-20 23:14:06.433652
0,o4-mini,True,False,6,3,True,True,63,2025-06-20 23:14:06.435875,2025-06-20 23:14:49.944129
0,o4-mini,True,False,6,4,True,True,63,2025-06-20 23:14:49.949248,2025-06-20 23:15:25.410014
0,o4-mini,True,False,6,5,True,True,63,2025-06-20 23:15:25.415335,2025-06-20 23:16:01.441168
0,o4-mini,True,False,6,6,True,True,63,2025-06-20 23:16:01.446276,2025-06-20 23:16:35.706527
0,o4-mini,True,False,6,7,True,True,63,2025-06-20 23:16:35.711705,2025-06-20 23:17:02.192376
0,o4-mini,True,False,6,8,True,True,63,2025-06-20 23:17:02.197350,2025-06-20 23:17:38.019678
0,o4-mini,True,False,6,9,True,True,63,2025-06-20 23:17:38.026507,2025-06-20 23:18:11.175899
0,o4-mini,True,False,6,10,True,True,63,2025-06-20 23:18:11.181067,2025-06-20 23:19:00.892256
0,o4-mini,True,False,6,11,True,True,63,2025-06-20 23:19:00.897209,2025-06-20 23:20:26.662027
0,o4-mini,True,False,6,12,True,True,63,2025-06-20 23:20:26.666891,2025-06-20 23:21:00.211394
0,o4-mini,True,False,6,13,True,True,63,2025-06-20 23:21:00.216429,2025-06-20 23:21:52.253210
0,o4-mini,True,False,6,14,True,True,63,2025-06-20 23:21:52.258599,2025-06-20 23:22:42.686490
0,gpt-4.1-mini,True,False,6,0,True,True,63,2025-06-20 23:22:42.692844,2025-06-20 23:23:19.114083
0,gpt-4.1-mini,True,False,6,1,True,True,63,2025-06-20 23:23:19.119540,2025-06-20 23:23:59.879130
