,model_name,use_mcp,add_pseudocode,n_disks,ith_try,has_structured_response,valid_solution,total_moves,run_start,run_end
0,o4-mini,True,False,6,5,True,True,63,2025-06-19 14:06:47.893654,2025-06-19 14:07:47.775910
0,o4-mini,False,False,6,6,True,True,63,2025-06-19 14:07:47.784157,2025-06-19 14:09:17.554866
0,o4-mini,False,True,6,6,True,False,63,2025-06-19 14:09:17.561372,2025-06-19 14:11:16.334012
0,o4-mini,True,False,6,6,True,True,63,2025-06-19 14:11:16.339710,2025-06-19 14:12:21.803723
0,o4-mini,False,False,6,7,True,True,63,2025-06-19 14:12:21.812095,2025-06-19 14:14:53.960095
0,o4-mini,False,True,6,7,True,False,63,2025-06-19 14:14:53.966857,2025-06-19 14:17:01.397823
0,o4-mini,True,False,6,7,True,False,63,2025-06-19 14:17:01.407392,2025-06-19 14:17:55.422614
0,o4-mini,False,False,6,8,True,False,63,2025-06-19 14:17:55.429931,2025-06-19 14:19:41.260532
0,o4-mini,False,True,6,8,True,False,63,2025-06-19 14:19:41.266590,2025-06-19 14:21:08.922984
0,o4-mini,True,False,6,8,True,False,63,2025-06-19 14:21:08.928291,2025-06-19 14:23:20.691218
0,o4-mini,False,False,6,9,True,True,63,2025-06-19 14:23:20.697713,2025-06-19 14:24:11.052058
0,o4-mini,False,True,6,9,True,False,63,2025-06-19 14:24:11.057346,2025-06-19 14:25:11.840744
0,o4-mini,True,False,6,9,True,True,63,2025-06-19 14:25:11.845758,2025-06-19 14:26:27.416493
0,o4-mini,False,False,8,0,True,False,255,2025-06-19 14:53:24.902570,2025-06-19 14:55:03.775873
0,o4-mini,False,True,8,0,True,False,255,2025-06-19 14:55:03.781348,2025-06-19 14:56:36.996601
0,o4-mini,True,False,8,0,True,False,255,2025-06-19 14:56:37.002276,2025-06-19 14:57:59.330693
0,o4-mini,False,False,8,1,True,False,255,2025-06-19 14:57:59.338114,2025-06-19 14:59:57.522127
0,o4-mini,False,True,8,1,True,False,255,2025-06-19 14:59:57.528153,2025-06-19 15:01:47.493071
0,o4-mini,True,False,8,1,True,False,255,2025-06-19 15:01:47.499463,2025-06-19 15:03:00.121731
0,o4-mini,False,False,8,2,True,False,255,2025-06-19 15:03:00.127994,2025-06-19 15:04:26.544646
0,o4-mini,False,True,8,2,True,False,255,2025-06-19 15:04:26.550509,2025-06-19 15:05:33.308720
0,o4-mini,True,False,8,2,True,False,255,2025-06-19 15:05:33.313959,2025-06-19 15:06:54.761818
0,o4-mini,False,False,8,3,True,False,255,2025-06-19 15:06:54.771909,2025-06-19 15:08:23.510896
0,o4-mini,False,True,8,3,True,False,255,2025-06-19 15:08:23.517143,2025-06-19 15:10:56.364678
0,o4-mini,True,False,8,3,True,False,255,2025-06-19 15:10:56.370462,2025-06-19 15:11:50.380340
0,o4-mini,False,False,8,4,True,False,255,2025-06-19 15:11:50.385441,2025-06-19 15:12:53.977642
0,o4-mini,False,True,8,4,True,False,255,2025-06-19 15:12:53.983725,2025-06-19 15:14:21.750434
0,o4-mini,True,False,8,4,True,False,255,2025-06-19 15:14:21.754738,2025-06-19 15:15:31.333561
0,o4-mini,False,False,8,5,True,False,255,2025-06-19 15:15:31.339898,2025-06-19 15:18:04.653990
0,o4-mini,False,True,8,5,True,False,255,2025-06-19 15:18:04.667577,2025-06-19 15:20:00.443914
0,o4-mini,True,False,8,5,True,False,255,2025-06-19 15:20:00.448839,2025-06-19 15:21:24.526937
0,o4-mini,False,False,8,6,True,False,255,2025-06-19 15:21:24.532815,2025-06-19 15:23:07.880852
0,o4-mini,False,True,8,6,True,False,255,2025-06-19 15:23:07.888076,2025-06-19 15:24:42.938969
0,o4-mini,True,False,8,6,True,False,255,2025-06-19 15:24:42.944253,2025-06-19 15:25:56.098973
0,o4-mini,False,False,8,7,True,False,255,2025-06-19 15:25:56.104616,2025-06-19 15:26:32.374796
0,o4-mini,False,True,8,7,True,False,255,2025-06-19 15:26:32.380709,2025-06-19 15:28:53.293353
0,o4-mini,True,False,8,7,True,False,255,2025-06-19 15:28:53.305368,2025-06-19 15:31:17.939087
0,o4-mini,False,False,8,8,True,False,255,2025-06-19 15:31:17.944807,2025-06-19 15:32:19.505922
0,o4-mini,False,True,8,8,True,False,255,2025-06-19 15:32:19.512864,2025-06-19 15:33:26.996913
0,o4-mini,True,False,8,8,True,False,255,2025-06-19 15:33:27.002139,2025-06-19 15:34:46.656810
0,o4-mini,False,False,8,9,True,False,255,2025-06-19 15:34:46.662084,2025-06-19 15:36:05.359234
0,o4-mini,False,True,8,9,True,False,255,2025-06-19 15:36:05.365082,2025-06-19 15:37:01.303678
0,o4-mini,True,False,8,9,True,False,255,2025-06-19 15:37:01.311449,2025-06-19 15:38:01.308640
0,gpt-4.1-mini,False,False,8,0,True,False,255,2025-06-19 15:38:01.314434,2025-06-19 15:39:56.303446
0,gpt-4.1-mini,False,True,8,0,True,False,255,2025-06-19 15:39:56.306686,2025-06-19 15:41:13.164249
0,gpt-4.1-mini,True,False,8,0,True,False,255,2025-06-19 15:41:13.169759,2025-06-19 15:42:51.616624
0,gpt-4.1-mini,False,False,8,1,True,False,255,2025-06-19 15:42:51.620239,2025-06-19 15:44:00.543785
0,gpt-4.1-mini,False,True,8,1,True,False,255,2025-06-19 15:44:00.547099,2025-06-19 15:44:38.111917
0,gpt-4.1-mini,True,False,8,1,True,False,255,2025-06-19 15:44:38.117447,2025-06-19 15:45:26.342119
0,gpt-4.1-mini,False,False,8,2,True,False,255,2025-06-19 15:45:26.347833,2025-06-19 15:46:04.506188
0,gpt-4.1-mini,False,True,8,2,True,False,255,2025-06-19 15:46:04.511976,2025-06-19 15:47:27.031644
0,gpt-4.1-mini,True,False,8,2,True,False,255,2025-06-19 15:47:27.043827,2025-06-19 15:48:06.174606
0,gpt-4.1-mini,False,False,8,3,True,False,255,2025-06-19 15:48:06.180566,2025-06-19 15:49:19.580738
0,gpt-4.1-mini,False,True,8,3,True,False,255,2025-06-19 15:49:19.585785,2025-06-19 15:49:59.484720
0,gpt-4.1-mini,True,False,8,3,True,False,255,2025-06-19 15:49:59.490118,2025-06-19 15:51:24.731659
0,gpt-4.1-mini,False,False,8,4,True,False,255,2025-06-19 15:51:24.737592,2025-06-19 15:53:11.303547
0,gpt-4.1-mini,False,True,8,4,True,False,255,2025-06-19 15:53:11.311351,2025-06-19 15:53:39.977332
0,gpt-4.1-mini,True,False,8,4,True,False,255,2025-06-19 15:53:39.983739,2025-06-19 15:54:16.677411
0,gpt-4.1-mini,False,False,8,5,True,False,255,2025-06-19 15:54:16.682696,2025-06-19 15:54:54.860462
